name,LAT,LONG,iconname,services,wikidata,blogentry
Málaga Centro - Alameda,36.7154274,-4.4265592,rail-24,"Cercaníás C1, Cercanías C2, Proximidad",Q604972,[[https://alangrant.writeas.com/|Read more at EveryStationMalaga]] 
Málaga María Zambrano,36.7116198,-4.4323605,rail-24,"AVE, AVANT, AVLO, Iryo, MD, Cercaníás C1, Cercanías C2, Proximidad",Q801214,not yet published
Álora,36.8197098,-4.6993991,rail-24-white,"MD, Cercanías C2, Proximidad",Q8842737,[[https://alangrant.writeas.com/|Read more at EveryStationMalaga]] 
Las Mellizas,36.8732189,-4.7192019,rail-24,"MD, Proximidad",Q5846566,not yet published
El Chorro-Caminito del Rey,36.9070732,-4.7591329,rail-24,"MD, Proximidad",Q5846154,not yet published
Bobadilla,37.0376401,-4.7279832,rail-24,MD,Q5845842,not yet published
Antequera-Santa Ana,37.0701682,-4.7197084,rail-24-white,"AVE, AVANT, AVLO, Iryo, InterCity, MD",Q3325592,[[https://alangrant.writeas.com/|Read more at EveryStationMalaga]] 
Campillos,37.0320313,-4.8635041,rail-24,MD,Q5845936,not yet published
Almargen - Cañete la Real,37.0009416,-5.0198943,rail-24,MD,Q5845663,not yet published
Ronda,36.7485914,-5.1619649,rail-24-white,"InterCity, MD",Q3394773,[[https://alangrant.writeas.com/|Read more at EveryStationMalaga]] 
Arriate,36.790954,-5.1405656,rail-24,MD,Q5845729,not yet published
Benaojan-Montejaque,36.7137087,-5.2461358,rail-24,MD,Q5845806,not yet published
Jimera de Líbar,36.660644,-5.2813402,rail-24,MD,Q5846427,not yet published
Cortes de la Frontera,36.5971871,-5.3325655,rail-24,MD,Q5846078,not yet published
Gaucin,36.5402389,-5.3868218,rail-24,MD,Q5846286,not yet published
Antequera AV,37.0295688,-4.5609187,rail-24,AVANT,Q2918304 ,not yet published
